0.10236 0.114725 4.8739062142e+00 8.5142268945e-01
0.131787 0.151126 6.4858224813e+00 9.1582223663e-01
0.162211 0.174134 6.3542437498e+00 8.2232549568e-01
0.186889 0.197232 5.9331118595e+00 7.6356017688e-01
0.211326 0.220339 7.6839774747e+00 1.2250779438e+00
0.235589 0.249179 8.3079867553e+00 9.3931319062e-01
0.265086 0.284005 5.8095755961e+00 9.8106211775e-01
0.306661 0.330016 5.9653987820e+00 8.9294770986e-01
0.35824 0.391652 3.5904081647e+00 1.0427755576e+00
0.436227 0.504713 6.8461332637e+00 8.1674682899e-01
0.733765 1.48085 8.4277745235e+00 8.0428530805e-01
